src_node_id,dst_node_id,interaction_weight,activity_type,is_apply,date_key,time_key,engagement_score
0,0,0.1,impression,0,20241202,140000,0.10
0,0,0.4,click,0,20241202,140100,0.40
0,0,0.7,view,0,20241202,140200,0.70
0,1,0.1,impression,0,20241202,141000,0.10
0,1,0.4,click,0,20241202,141100,0.40
0,7,0.1,impression,0,20241203,100000,0.10
0,7,0.4,click,0,20241203,100100,0.40
0,7,0.8,view,0,20241203,100200,0.80
0,7,1.0,apply,1,20241203,100500,1.00
1,2,0.1,impression,0,20241202,150000,0.10
1,2,0.4,click,0,20241202,150100,0.40
1,8,0.1,impression,0,20241203,110000,0.10
1,8,0.4,click,0,20241203,110100,0.40
1,8,0.7,view,0,20241203,110200,0.70
2,1,0.1,impression,0,20241202,160000,0.10
2,1,0.4,click,0,20241202,160100,0.40
2,1,0.8,view,0,20241202,160200,0.80
2,1,1.0,apply,1,20241203,130000,1.00
2,12,0.1,impression,0,20241204,140000,0.10
2,12,0.4,click,0,20241204,140100,0.40
3,6,0.1,impression,0,20241202,150000,0.10
3,6,0.4,click,0,20241202,150100,0.40
3,6,0.7,view,0,20241202,150200,0.70
3,6,1.0,apply,1,20241203,110000,1.00
3,16,0.1,impression,0,20241204,130000,0.10
4,3,0.1,impression,0,20241202,140000,0.10
4,3,0.4,click,0,20241202,140100,0.40
4,3,0.8,view,0,20241202,140200,0.80
4,13,0.1,impression,0,20241203,150000,0.10
4,13,0.4,click,0,20241203,150100,0.40
4,22,0.1,impression,0,20241204,130000,0.10
4,22,0.4,click,0,20241204,130100,0.40
4,22,0.7,view,0,20241204,130200,0.70
5,2,0.1,impression,0,20241202,160000,0.10
5,2,0.4,click,0,20241202,160100,0.40
5,2,0.7,view,0,20241202,160200,0.70
5,25,0.1,impression,0,20241203,140000,0.10
5,25,0.4,click,0,20241203,140100,0.40
6,4,0.1,impression,0,20241202,130000,0.10
6,4,0.4,click,0,20241202,130100,0.40
6,4,0.7,view,0,20241202,130200,0.70
6,27,0.1,impression,0,20241203,150000,0.10
7,5,0.1,impression,0,20241202,140000,0.10
7,5,0.4,click,0,20241202,140100,0.40
7,5,0.8,view,0,20241202,140200,0.80
7,5,1.0,apply,1,20241203,100000,1.00
7,19,0.1,impression,0,20241204,140000,0.10
7,19,0.4,click,0,20241204,140100,0.40
8,14,0.1,impression,0,20241202,150000,0.10
8,14,0.4,click,0,20241202,150100,0.40
