flow_id,job_key,user_key,start_date_key,exit_step,is_completed,days_to_hire
flow_001,8,1,20241203,3,true,14
flow_002,2,3,20241203,3,true,10
flow_003,7,4,20241203,3,true,12
flow_004,14,11,20241204,3,true,15
flow_005,6,8,20241203,3,true,11
flow_006,13,14,20241204,3,true,13
flow_007,19,38,20241203,3,true,9
flow_008,1,1,20241202,2,false,0
flow_009,9,2,20241203,2,false,0
flow_010,4,5,20241202,2,false,0
flow_011,23,5,20241204,1,false,0
flow_012,3,6,20241202,2,false,0
flow_013,5,7,20241202,1,false,0
flow_014,12,10,20241202,2,false,0
flow_015,8,12,20241202,2,false,0
flow_016,10,15,20241202,2,false,0
flow_017,38,17,20241202,1,false,0
flow_018,47,18,20241203,2,false,0
flow_019,1,20,20241202,1,false,0
flow_020,17,22,20241202,2,false,0
flow_021,2,24,20241202,1,false,0
flow_022,34,26,20241202,2,false,0
flow_023,16,28,20241202,2,false,0
flow_024,30,29,20241202,1,false,0
flow_025,4,33,20241202,2,false,0
flow_026,25,34,20241202,1,false,0
flow_027,24,36,20241202,1,false,0
flow_028,18,37,20241202,2,false,0
flow_029,46,48,20241202,1,false,0
flow_030,47,46,20241202,2,false,0
